2024-04-30 21:12:31.803026 - 
2024-04-30 21:12:32.215784 - w
2024-04-30 21:12:32.462956 - a
2024-04-30 21:12:32.716758 - s
2024-04-30 21:12:33.136954 - d
2024-04-30 21:12:33.188781 - w
2024-04-30 21:12:33.227217 - Key.space
2024-04-30 21:12:33.352217 - a
2024-04-30 21:12:33.659860 - d
2024-04-30 21:12:33.795865 - w
2024-04-30 21:12:33.935163 - d
2024-04-30 21:12:34.091904 - a
2024-04-30 21:12:34.109019 - d
2024-04-30 21:12:34.221776 - Key.space
2024-04-30 21:12:34.323455 - a
2024-04-30 21:12:34.413816 - d
2024-04-30 21:12:34.434676 - w
2024-04-30 21:12:34.541834 - s
2024-04-30 21:12:40.490767 - d
2024-04-30 21:12:41.013337 - Key.cmd
2024-04-30 21:12:41.226873 - <21>
2024-04-30 21:12:41.536167 - n
2024-04-30 21:12:41.777931 - o
2024-04-30 21:12:41.918011 - Key.backspace
2024-04-30 21:12:41.985370 - Key.backspace
2024-04-30 21:12:42.177564 - <21>
2024-04-30 21:12:42.389757 - n
2024-04-30 21:12:42.519343 - o
2024-04-30 21:12:42.900836 - t
2024-04-30 21:12:43.080281 - e
2024-04-30 21:12:43.244777 - Key.space
2024-04-30 21:12:43.355794 - p
2024-04-30 21:12:43.479585 - a
2024-04-30 21:12:43.625276 - d
2024-04-30 21:12:48.281717 - Key.enter
2024-04-30 21:12:49.905830 - w
2024-04-30 21:12:50.416893 - w
2024-04-30 21:12:50.753394 - w
2024-04-30 21:12:51.709244 - w
2024-04-30 21:12:52.865953 - Key.space
2024-04-30 21:12:53.691953 - 1
2024-04-30 21:12:54.657801 - Key.space
2024-04-30 21:12:55.172936 - Key.backspace
2024-04-30 21:12:55.204853 - Key.backspace
2024-04-30 21:12:55.235097 - Key.backspace
2024-04-30 21:12:55.265802 - Key.backspace
2024-04-30 21:12:55.297130 - Key.backspace
2024-04-30 21:12:55.328074 - Key.backspace
2024-04-30 21:12:55.359988 - Key.backspace
2024-04-30 21:12:55.390109 - Key.backspace
2024-04-30 21:12:55.435978 - Key.backspace
2024-04-30 21:12:55.466874 - Key.backspace
2024-04-30 21:12:55.498462 - Key.backspace
2024-04-30 21:12:55.702164 - Key.backspace
2024-04-30 21:12:55.888135 - 1
2024-04-30 21:12:56.078846 - 1
2024-04-30 21:12:56.269762 - 1
2024-04-30 21:13:00.320185 - 1
2024-04-30 21:13:03.088671 - 2
2024-04-30 21:13:04.690401 - 3
2024-04-30 21:13:05.830915 - 4
